Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1924,-.21,-.23,-.06,-.31,-.18,-.22,-.25,-.33,-.30,-.33,-.19,-.41,-.25,-.22,-.15,-.19,-.27,-.27
1925,-.36,-.37,-.25,-.24,-.29,-.32,-.27,-.15,-.16,-.17,.04,.09,-.20,-.25,-.38,-.26,-.25,-.10
1926,.20,.06,.12,-.12,-.22,-.22,-.24,-.13,-.12,-.09,-.04,-.27,-.09,-.06,.12,-.07,-.20,-.08
1927,-.27,-.17,-.36,-.30,-.25,-.26,-.16,-.20,-.10,.00,-.03,-.33,-.20,-.20,-.24,-.30,-.21,-.04
1928,.00,-.08,-.27,-.27,-.30,-.37,-.18,-.21,-.18,-.17,-.09,-.17,-.19,-.20,-.14,-.28,-.25,-.14
1929,-.46,-.59,-.31,-.39,-.38,-.40,-.33,-.29,-.22,-.13,-.12,-.53,-.35,-.32,-.41,-.36,-.34,-.15
1930,-.30,-.27,-.08,-.24,-.23,-.20,-.19,-.12,-.12,-.08,.17,-.06,-.14,-.18,-.36,-.18,-.17,-.01
1931,-.10,-.24,-.08,-.21,-.19,-.07,-.02,-.03,-.07,.02,-.11,-.09,-.10,-.10,-.13,-.16,-.04,-.05
1932,.14,-.18,-.19,-.06,-.19,-.30,-.24,-.23,-.11,-.11,-.26,-.25,-.17,-.15,-.04,-.15,-.26,-.16
1933,-.34,-.34,-.30,-.26,-.29,-.34,-.21,-.24,-.27,-.21,-.30,-.46,-.30,-.28,-.31,-.28,-.26,-.26
1934,-.25,-.04,-.33,-.30,-.11,-.15,-.10,-.11,-.16,-.08,.03,-.04,-.14,-.17,-.25,-.25,-.12,-.07
1935,-.33,.15,-.13,-.36,-.30,-.27,-.23,-.23,-.21,-.08,-.28,-.20,-.21,-.19,-.07,-.26,-.24,-.19
1936,-.28,-.39,-.22,-.20,-.18,-.21,-.08,-.14,-.09,-.04,-.04,-.03,-.16,-.17,-.29,-.20,-.14,-.06
1937,-.13,.03,-.18,-.17,-.08,-.05,-.05,.01,.11,.08,.09,-.12,-.04,-.03,-.04,-.14,-.03,.09
1938,.02,-.02,.08,.04,-.10,-.18,-.09,-.06,.02,.11,.04,-.22,-.03,-.02,-.04,.00,-.11,.06
1939,-.07,-.08,-.19,-.10,-.06,-.08,-.08,-.07,-.07,-.03,.06,.44,-.03,-.08,-.13,-.12,-.08,-.02
1940,-.06,.13,.15,.18,.09,.08,.12,.04,.13,.07,.17,.27,.12,.13,.17,.14,.08,.12
1941,.21,.32,.08,.17,.14,.11,.21,.14,.02,.33,.24,.20,.18,.19,.27,.13,.15,.20
1942,.26,.02,.09,.11,.09,.04,.00,-.04,-.04,-.01,.08,.07,.06,.07,.16,.10,.00,.01
1943,-.04,.13,-.08,.07,.04,-.06,.08,.00,.06,.22,.20,.24,.07,.06,.06,.01,.01,.16
1944,.35,.26,.27,.19,.20,.20,.19,.17,.30,.26,.10,.02,.21,.23,.29,.22,.19,.22
1945,.10,-.02,.07,.18,.05,.00,.03,.27,.22,.18,.07,-.09,.09,.10,.03,.10,.10,.16
1946,.15,.07,.01,.06,-.08,-.21,-.14,-.17,-.07,-.06,-.06,-.35,-.07,-.05,.04,-.01,-.17,-.06
1947,-.13,-.08,.07,.07,-.03,.02,-.07,-.09,-.13,.05,.02,-.16,-.04,-.05,-.19,.04,-.05,-.02
1948,.07,-.16,-.25,-.11,.01,-.04,-.11,-.12,-.11,-.07,-.12,-.23,-.10,-.10,-.08,-.12,-.09,-.10
1949,.09,-.17,-.03,-.10,-.08,-.23,-.14,-.11,-.14,-.06,-.10,-.22,-.11,-.11,-.10,-.07,-.16,-.10
1950,-.33,-.28,-.07,-.20,-.10,-.03,-.10,-.16,-.12,-.22,-.38,-.20,-.18,-.18,-.28,-.12,-.10,-.24
1951,-.34,-.43,-.21,-.13,.00,-.02,.03,.06,.09,.05,-.02,.14,-.06,-.09,-.32,-.11,.02,.04
1952,.13,.11,-.09,.02,-.02,-.03,.04,.04,.07,.00,-.14,-.01,.01,.02,.12,-.03,.02,-.02
1953,.08,.14,.11,.18,.09,.10,.00,.06,.04,.06,-.06,.02,.07,.07,.07,.13,.05,.02
1954,-.28,-.13,-.15,-.16,-.22,-.17,-.19,-.17,-.10,-.04,.06,-.21,-.15,-.13,-.13,-.18,-.18,-.03
1955,.14,-.18,-.35,-.21,-.21,-.11,-.13,.01,-.11,-.05,-.24,-.30,-.15,-.14,-.09,-.25,-.08,-.13
1956,-.16,-.26,-.23,-.27,-.31,-.16,-.12,-.26,-.20,-.24,-.17,-.08,-.21,-.22,-.24,-.27,-.18,-.20
1957,-.11,-.04,-.06,-.01,.09,.16,.01,.15,.09,.01,.06,.16,.04,.02,-.08,.00,.11,.06
1958,.39,.24,.11,.03,.06,-.08,.05,-.04,-.02,.04,.02,.00,.07,.08,.26,.07,-.02,.01
1959,.08,.09,.18,.13,.04,.02,.06,-.02,-.06,-.09,-.09,-.02,.03,.03,.06,.12,.02,-.08
1960,-.01,.16,-.34,-.14,-.07,-.04,-.03,.01,.07,.07,-.12,.18,-.02,-.04,.05,-.18,-.02,.01
1961,.07,.19,.09,.12,.11,.11,.00,.03,.07,.00,.03,-.15,.06,.08,.15,.11,.05,.03
1962,.07,.14,.12,.04,-.04,.04,.02,-.01,.01,.00,.07,.00,.04,.03,.02,.04,.02,.03
1963,-.02,.20,-.14,-.06,-.04,.05,.09,.27,.20,.15,.15,-.01,.07,.07,.06,-.08,.14,.17
1964,-.08,-.13,-.23,-.32,-.25,-.02,-.03,-.21,-.29,-.31,-.21,-.30,-.20,-.17,-.07,-.26,-.09,-.27
1965,-.08,-.17,-.11,-.19,-.14,-.09,-.12,-.03,-.16,-.05,-.06,-.06,-.10,-.12,-.18,-.14,-.08,-.09
1966,-.17,.00,.05,-.13,-.11,.01,.10,-.08,-.02,-.15,-.02,-.05,-.05,-.05,-.08,-.06,.01,-.06
1967,-.06,-.21,.04,-.05,.15,-.08,.01,.01,-.06,.09,-.07,-.03,-.02,-.02,-.11,.05,-.02,-.01
1968,-.26,-.15,.21,-.05,-.13,-.08,-.12,-.09,-.18,.11,-.03,-.13,-.08,-.07,-.15,.01,-.09,-.04
1969,-.11,-.14,.01,.18,.19,.05,-.02,.03,.09,.13,.13,.28,.07,.03,-.12,.13,.02,.11
1970,.09,.22,.08,.09,-.04,-.02,-.02,-.09,.11,.05,.02,-.12,.03,.06,.20,.04,-.04,.06
1971,-.02,-.19,-.17,-.08,-.05,-.19,-.11,-.03,-.04,-.06,-.05,-.09,-.09,-.09,-.11,-.10,-.11,-.05
1972,-.24,-.16,.02,.00,-.03,.06,.01,.17,.02,.09,.04,.20,.01,-.01,-.16,.00,.08,.05
1973,.29,.31,.27,.26,.25,.17,.10,.03,.10,.14,.06,-.06,.16,.18,.26,.26,.10,.10
1974,-.15,-.29,-.06,-.12,-.02,-.06,-.05,.11,-.11,-.08,-.07,-.09,-.08,-.08,-.16,-.06,.00,-.09
1975,.07,.07,.13,.05,.16,.00,-.01,-.19,-.03,-.09,-.16,-.17,-.01,-.01,.02,.11,-.07,-.09
1976,-.01,-.06,-.21,-.08,-.24,-.16,-.10,-.14,-.09,-.26,-.04,.10,-.11,-.13,-.08,-.18,-.13,-.13
1977,.19,.22,.25,.28,.30,.24,.20,.16,.00,.02,.17,.03,.17,.18,.17,.27,.20,.06
1978,.06,.14,.21,.15,.06,-.02,.03,-.17,.05,.00,.15,.10,.06,.06,.08,.14,-.05,.07
1979,.12,-.10,.18,.13,.05,.13,.02,.14,.25,.24,.28,.47,.16,.13,.04,.12,.10,.26
1980,.30,.42,.30,.33,.36,.17,.28,.23,.19,.18,.29,.20,.27,.29,.40,.33,.23,.22
1981,.55,.41,.49,.31,.24,.32,.34,.32,.17,.14,.24,.43,.33,.31,.38,.35,.32,.18
1982,.10,.15,-.01,.09,.15,.05,.13,.07,.14,.13,.15,.42,.13,.13,.23,.08,.08,.14
1983,.51,.40,.42,.31,.36,.20,.17,.33,.39,.16,.32,.17,.31,.33,.45,.36,.23,.29
